Station1,Station2,Station3,Station4,Station5,Station6,Station7,Station8,Station9,Station10,Station11,Station12
2.415427015,23.50298268,5.082873965,5.836102084,14.86917615,21.54062521,12.78505624,22.01634823,17.7206826,496.3943209,584.7428823,634.5805323
2.749565805,8.058974542,14.65963148,20.03133728,34.46160231,45.3919051,41.00279388,69.0931057,61.95726036,135.496111,163.926225,184.7674241
1.090198594,3.58491278,13.71951218,21.38488255,16.9646228,32.33783882,44.82556817,112.9842179,124.3109566,398.7012001,416.257645,468.9269797
1.033564901,2.341803214,7.444498971,9.112361236,9.231291992,15.58559237,36.78358373,94.5499508,97.0418333,385.3922822,461.5645996,545.3824655
0.597485463,1.925545569,6.637468843,9.174658298,7.050894803,6.342973638,15.10986935,39.70021893,37.66140598,132.5511589,162.991769,197.510005
1.172317449,3.392358223,4.731745067,5.572755411,8.3251529,18.85335647,54.82141502,134.8731404,151.2969114,355.0932564,401.8160533,468.9269797
0.447406176,2.007664424,11.94121421,19.6405648,19.05157439,24.23072564,66.37468843,209.9411007,216.0009059,411.7269496,442.3091439,521.0299774
17.52529636,13.75632408,12.62931358,19.34890128,40.06833794,21.1356943,127.9071961,282.0357921,311.2021441,415.1249712,434.3804268,473.1745067
22.3363286,38.05784183,17.95004906,24.54504263,26.32050891,28.51506453,92.93589054,158.206222,170.6090008,331.5902737,372.0833643,379.7289129
2.245525935,5.966359579,14.86917615,18.63248506,17.53095973,9.607906051,29.25130254,42.02220035,36.78358373,84.89390611,90.95371128,97.24005122
28.82654984,44.85388501,34.77308762,45.95824203,83.19489531,96.39054583,148.7200783,206.7129802,243.5248808,325.9269044,334.1387899,321.9625458
5.671864374,15.52046362,11.03507512,14.99660196,27.01993503,29.534471,26.83021215,42.92833945,43.12655737,74.5582571,77.61647653,75.7758815
2.239862566,4.921467939,6.107943812,6.725251068,7.356716747,5.131012604,16.31333533,23.93056706,24.07781466,46.69448004,53.77369169,60.00339795
2.840179714,3.808615868,6.215547829,7.178320613,7.710677329,6.730914437,18.35214828,21.65106091,22.95080417,42.50358675,49.44121416,56.35052473
0.900475722,1.820773236,5.838933769,7.050894803,6.875330354,7.215132514,13.8639281,12.97194743,16.890999,70.67884911,84.46915341,118.1662009
